bias_s,coverage_pct,gt_airport,gt_subminute,mad_s,milestone,n_detected,n_truth,p90_abs_s,period,rung,within_10s,within_10s_pct,within_120s,within_120s_pct,within_300s,within_300s_pct,within_30s,within_30s_pct,within_60s,within_60s_pct
765.0,4.84,LKPR,False,770.0,AOBT,32,661,3040.0,2026,V07_shipped,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
35.0,98.23,LPFR,False,35.0,ATOT,388,395,60.0,2026,V07_shipped,45,11.39,387,97.97,387,97.97,174,44.05,354,89.62
2.0,96.95,EDDS,True,3.0,ATOT,350,361,8.049998044967651,2026,V07_shipped,325,90.03,349,96.68,349,96.68,348,96.4,348,96.4
-5.0,97.96,LPFR,False,10.0,ALDT,385,393,30.0,2026,V07_shipped,199,50.64,384,97.71,384,97.71,351,89.31,384,97.71
1250.0,0.72,EGCC,False,1250.0,AOBT,7,975,3910.0,2026,V07_shipped,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
600.0,2.15,LOWW,False,675.0,AOBT,23,1071,3615.0,2026,V07_shipped,0,0.0,0,0.0,4,0.37,0,0.0,0,0.0
715.0,2.27,EFHK,False,715.0,AOBT,1,44,715.0,2026,V07_shipped,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
-590.0,3.03,EFHK,False,590.0,AIBT,1,33,590.0,2026,V07_shipped,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
755.0,63.08,LSZH,False,845.0,AOBT,41,65,1135.0,2026,V07_shipped,0,0.0,0,0.0,1,1.54,0,0.0,0,0.0
7065.0,4.55,UGKO,False,7065.0,AOBT,2,44,12710.0,2026,V07_shipped,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
-5.0,93.75,LSZH,False,5.0,ALDT,15,16,10.0,2026,V07_shipped,14,87.5,15,93.75,15,93.75,15,93.75,15,93.75
-5.0,85.0,UGKO,False,15.0,ALDT,34,40,45.0,2026,V07_shipped,15,37.5,34,85.0,34,85.0,27,67.5,34,85.0
-225.0,0.83,EICK,False,225.0,AIBT,1,120,225.0,2026,V07_shipped,0,0.0,0,0.0,1,0.83,0,0.0,0,0.0
20.0,96.67,EICK,False,30.0,ALDT,116,120,50.0,2026,V07_shipped,30,25.0,116,96.67,116,96.67,68,56.67,115,95.83
-6.742857933044434,100.0,LEIB,False,6.742857933044434,ATOT,5,5,12.440000057220459,2026,V07_shipped,4,80.0,5,100.0,5,100.0,5,100.0,5,100.0
-20.0,1.96,LHBP,False,20.0,AIBT,1,51,20.0,2026,V07_shipped,0,0.0,1,1.96,1,1.96,1,1.96,1,1.96
411.0,0.55,LPFR,True,411.0,AOBT,1,181,411.0,2026,V07_shipped,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
-260.0,47.06,LSZH,False,260.0,AIBT,8,17,6465.0,2026,V07_shipped,0,0.0,0,0.0,5,29.41,0,0.0,0,0.0
-8085.0,22.22,EDDS,False,275.0,AIBT,8,36,11855.0,2026,V07_shipped,0,0.0,0,0.0,4,11.11,0,0.0,0,0.0
-11085.0,7.5,UGKO,False,11085.0,AIBT,3,40,12940.0,2026,V07_shipped,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
-20.0,88.89,EDDS,False,15.0,ALDT,8,9,50.0,2026,V07_shipped,2,22.22,8,88.89,8,88.89,6,66.67,8,88.89
5.0,96.43,LSZH,False,5.0,ATOT,27,28,40.0,2026,V07_shipped,19,67.86,27,96.43,27,96.43,23,82.14,27,96.43
-10.0,100.0,LEIB,False,10.0,ALDT,5,5,10.0,2026,V07_shipped,5,100.0,5,100.0,5,100.0,5,100.0,5,100.0
,0.0,ENVA,True,,AIBT,0,7,,2026,V07_shipped,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,LEIB,True,,AIBT,0,4,,2026,V07_shipped,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0.0,100.0,EDDS,False,0.9714300632476807,ATOT,10,10,12.800002098083496,2026,V07_shipped,8,80.0,10,100.0,10,100.0,10,100.0,10,100.0
-3076.0,100.0,EGGD,True,3076.0,ATOT,1,1,3076.0,2026,V07_shipped,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,LEIB,True,,AOBT,0,4,,2026,V07_shipped,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
